complaint,department,severity
"Sir, Shanti Nagar ke paas stray cattle repeatedly causing accidents on a busy road hai, please jaldi dekh lijiye.",Other,High
Broken swings in the children's park near Gandhi Chowk pls fix asap!!,Parks & Gardens,Medium
"Kripya City Hospital ka a faded park bench that needs repainting jaldi se jaldi thik karwaye, bahut zaroori hai.",Parks & Gardens,Low
"This complaint is regarding no traffic signal at all at an extremely busy junction causing frequent accidents in the vicinity of the mosque, which needs to be addressed soon.",Traffic Signals,Critical
"Yeh drains overflowing within minutes of heavy rain MG Road ke aas paas hai, department turant dhyan de.",Sewage & Drainage,High
"On behalf of the residents' welfare association, I am reporting a bus with completely failed brakes still being operated on the road near Shanti Nagar.",Public Transport,Critical
"The highway bypass ke logon ko roz an abandoned well left uncovered posing a fatal risk to children ki wajah se dikkat ho rahi hai, jaldi solution chahiye.",Other,Critical
"Please sir look this unsafe overcrowding on a bus route serving school children matter at the government hospital, we are having too much problem.",Public Transport,High
"Sir this Sector 14 area having buses skipping an entire route for days without notice problem, please to do fast action.",Public Transport,High
I would like to report muddy water coming from the tap for the last two days near Sector 9. Kindly take necessary action at the earliest.,Water Supply,Medium
Residents of the collector office road have been facing a bus with completely failed brakes still being operated on the road for several days now and request an urgent resolution.,Public Transport,Critical
"It has come to our attention that low water pressure only during early morning hours exists near Rampur village, and we seek immediate redressal.",Water Supply,Low
"Yeh complaint a major road cave-in blocking the entire street ke baare mein hai jo Nehru Colony ke paas dekha gaya, kripya jaldi solve karein.",Roads & Potholes,Critical
"This the slum area behind the stadium place a loose electricity meter cover on the pole is happening, kindly do needful urgently.",Electricity,Low
I would like to report medical waste being dumped along with regular household garbage near the housing board colony. Kindly take necessary action at the earliest.,Garbage Collection,High
"Humein Rajpuri village area mein a short circuit in the signal box that sparked and caused panic mil raha hai, department se request hai jaldi action le.",Traffic Signals,Critical
There is a major pipe leak wasting thousands of litres daily in the Ring Road area. This requires attention from the concerned department.,Water Supply,High
"We residents of the petrol pump junction very much suffering due large scale encroachment narrowing an entire road, please solve soon.",Other,High
"Hum sab Vivekanand Colony ke log a slightly damaged bench at the bus stop se pareshan hain, jaldi karyawahi ho.",Public Transport,Low
"This complaint is regarding a huge garbage heap attracting flies and mosquitoes near homes in the vicinity of the community hall, which needs to be addressed soon.",Garbage Collection,High
"Please department is baar the collector office road me a deep unmarked pit inside the park posing a fatal risk to children ko priority pe le, log bahut tang aa gaye hain.",Parks & Gardens,Critical
Residents of Gopalpur village have been facing a signal pole with peeling paint for several days now and request an urgent resolution.,Traffic Signals,Low
We would appreciate a prompt response regarding illegal construction blocking a public drainage path reported near Nehru Colony.,Other,High
"Kripya Church Street ka rats and cockroaches coming from an open drain jaldi se jaldi thik karwaye, bahut zaroori hai.",Sewage & Drainage,Medium
"Kripya Church Street ka a large pothole that has already caused two-wheeler accidents jaldi se jaldi thik karwaye, bahut zaroori hai.",Roads & Potholes,High
"Please sir look this irregular water supply timings without prior notice matter at the temple, we are having too much problem.",Water Supply,Medium
"Yeh complaint minor leakage from an underground pipe wetting the road ke baare mein hai jo the flyover ke paas dekha gaya, kripya jaldi solve karein.",Water Supply,Medium
"Humein the petrol pump junction area mein an exposed live wire near a school bus stop mil raha hai, department se request hai jaldi action le.",Street Lighting,Critical
"Old Town market ke residents bahut pareshan hain kyunki irregular water supply timings without prior notice hai, please fix karo.",Water Supply,Medium
Residents of New Colony have been facing a faded and worn out lamp post that needs painting for several days now and request an urgent resolution.,Street Lighting,Low
This is to bring to your notice a burning street light pole risking electrocution close to Kalyan Nagar. Please arrange for an inspection soon.,Street Lighting,Critical
"Kaafi din se Divine Enclave me overgrown grass in a small corner of the park hai lekin abhi tak kisi ne dhyan nahi diya, please help.",Parks & Gardens,Low
"It has come to our attention that low water pressure only during early morning hours exists near Subhash Nagar, and we seek immediate redressal.",Water Supply,Low
We request the department to send a team to inspect a lack of seating at a busy bus terminus reported at the slum area behind the stadium.,Public Transport,Medium
"Old Town market ke logon ko roz a major road cave-in blocking the entire street ki wajah se dikkat ho rahi hai, jaldi solution chahiye.",Roads & Potholes,Critical
"We residents of New Colony very much suffering due a school bus route with a driver reported as reckless causing near misses, please solve soon.",Public Transport,Critical
Residents of Malviya Nagar have been facing frequent short power cuts throughout the day for several days now and request an urgent resolution.,Electricity,Medium
"Sir this the bus stand area having a large pothole that has already caused two-wheeler accidents problem, please to do fast action.",Roads & Potholes,High
"Church Street ke residents bahut pareshan hain kyunki biomedical waste openly burning next to a children's park hai, please fix karo.",Garbage Collection,Critical
There is a signal timer display that is not clearly visible in the the railway station area. This requires attention from the concerned department.,Traffic Signals,Low
"On behalf of the residents' welfare association, I am reporting irregular and unpredictable garbage van timings near Station Road.",Garbage Collection,Medium
"Concern department not doing nothing about slightly discoloured water in the tap for one day at the collector office road, please help us.",Water Supply,Low
"Bhai Tilak Marg me a delay of a few seconds in the signal changing colour ho gaya hai, koi action nahi liya gaya ab tak.",Traffic Signals,Medium
I would like to report faded road markings that need repainting near Tilak Marg. Kindly take necessary action at the earliest.,Roads & Potholes,Low
We request the department to send a team to inspect an overloaded bus involved in a major accident on the highway reported at St. Mary's School.,Public Transport,Critical
"This complaint is regarding a huge garbage heap attracting flies and mosquitoes near homes in the vicinity of Station Road, which needs to be addressed soon.",Garbage Collection,High
Kindly look into a damaged high tension pole leaning over a crowded market at Tilak Marg as it has been affecting the daily lives of residents.,Other,Critical
Please note that an underground cable fault causing low voltage has been observed near the temple and needs timely repair.,Electricity,Medium
"This complaint is regarding a traffic signal that stays on the same colour too long in the vicinity of Sainik Colony, which needs to be addressed soon.",Traffic Signals,Medium
"On behalf of the residents' welfare association, I am reporting a huge sinkhole that has swallowed part of the carriageway near the fire station.",Roads & Potholes,Critical
"Sunrise Public School ke residents bahut pareshan hain kyunki a massive garbage dump that has caught fire and is spreading smoke hai, please fix karo.",Garbage Collection,Critical
"Slightly delayed response from the billing office Rajpuri village ke pass hai bhaiya, sarkar jaldi action le please.",Electricity,Low
This is to bring to your notice faded road markings that need repainting close to Green Valley Society. Please arrange for an inspection soon.,Roads & Potholes,Low
"Yeh complaint a collapsed pergola structure that injured a visitor ke baare mein hai jo the community hall ke paas dekha gaya, kripya jaldi solve karein.",Parks & Gardens,Critical
"Hum sab Sector 14 ke log a large crater on the highway causing multiple accidents se pareshan hain, jaldi karyawahi ho.",Roads & Potholes,Critical
Residents of MG Road have been facing a faulty signal that has already caused three accidents this month for several days now and request an urgent resolution.,Traffic Signals,High
"Humein Gopalpur village area mein frequent short power cuts throughout the day mil raha hai, department se request hai jaldi action le.",Electricity,Medium
There is an abandoned well left uncovered posing a fatal risk to children in the the community hall area. This requires attention from the concerned department.,Other,Critical
"Humein Green Valley Society area mein a collapsed boundary fence letting stray animals into a crowded park mil raha hai, department se request hai jaldi action le.",Parks & Gardens,High
Kindly look into a badly damaged road stretch causing heavy traffic jams at Kalyan Nagar as it has been affecting the daily lives of residents.,Roads & Potholes,High
"Green Valley Society ke residents bahut pareshan hain kyunki a slightly damaged bench at the bus stop hai, please fix karo.",Public Transport,Low
"It has come to our attention that a fallen electric pole with sparking wires on the road exists near the primary health centre, and we seek immediate redressal.",Street Lighting,Critical
"Sainik Colony ke residents bahut pareshan hain kyunki a complete lack of last mile connectivity from the station hai, please fix karo.",Public Transport,High
Kindly look into an exposed cable near a bus stop endangering commuters at Ambedkar Park as it has been affecting the daily lives of residents.,Electricity,High
"Kripya Green Valley Society ka an entire lane plunged into darkness for over a week jaldi se jaldi thik karwaye, bahut zaroori hai.",Street Lighting,High
"I am writing to formally complain about long traffic jams because of a malfunctioning signal at a busy road at the metro station, which has caused ongoing inconvenience.",Traffic Signals,High
"It has come to our attention that a live wire hanging dangerously over the road after a storm exists near Gandhi Chowk, and we seek immediate redressal.",Electricity,Critical
"Kaafi din se Subhash Nagar me no water supply in the entire locality for three days hai lekin abhi tak kisi ne dhyan nahi diya, please help.",Water Supply,High
There is a streetlight bulb that is slightly dim in the the mosque area. This requires attention from the concerned department.,Street Lighting,Low
"Sir, Divine Enclave ke paas stray cattle entering and damaging the garden hai, please jaldi dekh lijiye.",Parks & Gardens,Medium
"It has come to our attention that a streetlight transformer humming loudly at night exists near the slum area behind the stadium, and we seek immediate redressal.",Electricity,Low
We request the department to send a team to inspect a faded public notice board that needs updating reported at Divine Enclave.,Other,Low
Please note that a small pothole forming on the side of the road has been observed near MG Road and needs timely repair.,Roads & Potholes,Low
"Hum sab the metro station ke log a huge garbage heap attracting flies and mosquitoes near homes se pareshan hain, jaldi karyawahi ho.",Garbage Collection,High
"The slum area behind the stadium ke residents bahut pareshan hain kyunki a bus conductor misbehaving with a passenger hai, please fix karo.",Public Transport,Medium
"The industrial area ke logon ko roz sewage mixing into the drinking water pipeline ki wajah se dikkat ho rahi hai, jaldi solution chahiye.",Water Supply,High
Residents of the bus stand have been facing minor leakage from an underground pipe wetting the road for several days now and request an urgent resolution.,Water Supply,Medium
"Yeh masla a small patch of loose gravel on the footpath ka hai Nehru Colony ke aas paas, kripya turant karyawahi karein.",Roads & Potholes,Low
"Church Street ke pass rotting garbage causing a foul smell across an entire block hai, jaldi thik karwao please.",Garbage Collection,High
This is to bring to your notice a slow drip from a public tap that is being wasted close to the collector office road. Please arrange for an inspection soon.,Water Supply,Low
"Concern department not doing nothing about an uneven road surface after patch repair work at Malviya Nagar, please help us.",Roads & Potholes,Medium
"Urgnt - waterlogging on the road after even light rain @ Old Town market, ppl suffering alot",Roads & Potholes,Medium
"Please department is baar Green Valley Society me a deep unmarked pit inside the park posing a fatal risk to children ko priority pe le, log bahut tang aa gaye hain.",Parks & Gardens,Critical
"This complaint is regarding a bus catching fire while running with passengers on board in the vicinity of Indira Nagar, which needs to be addressed soon.",Public Transport,Critical
"Concern department not doing nothing about a bus conductor misbehaving with a passenger at the highway bypass, please help us.",Public Transport,Medium
We request the department to send a team to inspect a foul chlorine smell in the tap water reported at the water tank area.,Water Supply,Medium
"On behalf of the residents' welfare association, I am reporting no traffic signal at all at an extremely busy junction causing frequent accidents near the railway station.",Traffic Signals,Critical
"Bhai the bus stand me an overflowing sewage line making the street unusable ho gaya hai, koi action nahi liya gaya ab tak.",Sewage & Drainage,High
"St. Mary's School me irregular street lighting timing due to a faulty sensor ki wajah se bahut takleef ho rahi hai, please turant sudhaar karo.",Street Lighting,Medium
"Sir ji, the mosque ke paas a burning electric pole risking a major fire dekha, bahut jaldi theek karwa dijiye please.",Electricity,Critical
We request the department to send a team to inspect several streetlights not working on one stretch of road reported at Subhash Nagar.,Street Lighting,Medium
"Please department is baar the metro station me overcrowded buses during office hours ko priority pe le, log bahut tang aa gaye hain.",Public Transport,Medium
"Hum sab the metro station ke log unsafe overcrowding on a bus route serving school children se pareshan hain, jaldi karyawahi ho.",Public Transport,High
"Please department is baar the government hospital me a streetlight transformer humming loudly at night ko priority pe le, log bahut tang aa gaye hain.",Electricity,Low
"I am writing to formally complain about open garbage dumping inside a public garden near a school at Krishna Nagar, which has caused ongoing inconvenience.",Parks & Gardens,High
There is irregular bus timings on a regular route in the Rajpuri village area. This requires attention from the concerned department.,Public Transport,Medium
We would appreciate a prompt response regarding a dustbin lid that is broken and needs replacement reported near Tilak Marg.,Garbage Collection,Low
"Kaafi din se the community hall me a fire hazard from illegal gas cylinder storage in a shop hai lekin abhi tak kisi ne dhyan nahi diya, please help.",Other,Critical
"Since many days stray cattle entering and damaging the garden is there near Model Town, no body coming for repair.",Parks & Gardens,Medium
"Yeh masla an entire lane plunged into darkness for over a week ka hai the bus stand ke aas paas, kripya turant karyawahi karein.",Street Lighting,High
"Kripya Sunrise Public School ka a school bus route with a driver reported as reckless causing near misses jaldi se jaldi thik karwaye, bahut zaroori hai.",Public Transport,Critical
"Kripya Kalyan Nagar ka an illegal dumping site growing right behind a school jaldi se jaldi thik karwaye, bahut zaroori hai.",Garbage Collection,High
"On behalf of the residents' welfare association, I am reporting a bus conductor misbehaving with a passenger near Church Street.",Public Transport,Medium
There is a minor crack developing on the road surface in the Indira Nagar area. This requires attention from the concerned department.,Roads & Potholes,Low
"The panchayat office ke pass a major sewage line that has collapsed causing a huge sinkhole hai, jaldi thik karwao please.",Sewage & Drainage,Critical
"Sir ji, Sector 14 ke paas new LED lights installed too dim to light the road properly dekha, bahut jaldi theek karwa dijiye please.",Street Lighting,Medium
"The primary health centre - biomedical waste openly burning next to a children's park, fix it fast pls dept",Garbage Collection,Critical
"Kaafi din se City Hospital me medical waste being dumped along with regular household garbage hai lekin abhi tak kisi ne dhyan nahi diya, please help.",Garbage Collection,High
"I am writing to formally complain about a burning street light pole risking electrocution at the petrol pump junction, which has caused ongoing inconvenience.",Street Lighting,Critical
"On behalf of the residents' welfare association, I am reporting a live wire hanging dangerously over the road after a storm near Church Street.",Electricity,Critical
We request the department to send a team to inspect a clogged drain causing bad odour in the area reported at Model Town.,Sewage & Drainage,Medium
"Yeh masla a slightly overflowing dustbin that needs emptying ka hai Divine Enclave ke aas paas, kripya turant karyawahi karein.",Garbage Collection,Low
"Ambedkar Park ke pass a huge sinkhole that has swallowed part of the carriageway hai, jaldi thik karwao please.",Roads & Potholes,Critical
"Concern department not doing nothing about a minor malfunction in the pedestrian countdown timer at Sector 9, please help us.",Traffic Signals,Medium
There is a large crater on the highway causing multiple accidents in the St. Mary's School area. This requires attention from the concerned department.,Roads & Potholes,Critical
"Yeh masla an illegal dumping site growing right behind a school ka hai the temple ke aas paas, kripya turant karyawahi karein.",Garbage Collection,High
We request the department to send a team to inspect an exposed live wire near a school bus stop reported at the collector office road.,Street Lighting,Critical
"Plz snd team the temple, a dustbin lid that is broken and needs replacement since many dayz",Garbage Collection,Low
"Shanti Nagar ke pass a delay of a few seconds in the signal changing colour hai, jaldi thik karwao please.",Traffic Signals,Medium
Kindly look into an exposed high tension wire near a school gate at Lotus Apartments as it has been affecting the daily lives of residents.,Electricity,Critical
"The housing board colony ke logon ko roz a slightly damaged bench at the bus stop ki wajah se dikkat ho rahi hai, jaldi solution chahiye.",Public Transport,Low
"We residents of Sunrise Public School very much suffering due no regular watering of plants in the public garden, please solve soon.",Parks & Gardens,Medium
"This complaint is regarding an abandoned well left uncovered posing a fatal risk to children in the vicinity of Sector 9, which needs to be addressed soon.",Other,Critical
"Sir ji, New Colony ke paas a school bus route with a driver reported as reckless causing near misses dekha, bahut jaldi theek karwa dijiye please.",Public Transport,Critical
We would appreciate a prompt response regarding a small pile of leaves left uncollected for a day reported near Nehru Colony.,Garbage Collection,Low
We request the department to send a team to inspect overcrowded buses during office hours reported at the industrial area.,Public Transport,Medium
"On behalf of the residents' welfare association, I am reporting several streetlights not working on one stretch of road near Malviya Nagar.",Street Lighting,Medium
"Plz snd team the government hospital, irregular water supply timings without prior notice since many dayz",Water Supply,Medium
Residents of the metro station have been facing an exposed cable near a bus stop endangering commuters for several days now and request an urgent resolution.,Electricity,High
"Kaafi din se the railway station me minor leakage from an underground pipe wetting the road hai lekin abhi tak kisi ne dhyan nahi diya, please help.",Water Supply,Medium
Please note that muddy water coming from the tap for the last two days has been observed near Jawahar Nagar and needs timely repair.,Water Supply,Medium
"Since many days a broken signal pole bent after being hit by a vehicle is there near the railway station, no body coming for repair.",Traffic Signals,High
"This complaint is regarding a live wire hanging dangerously over the road after a storm in the vicinity of Divine Enclave, which needs to be addressed soon.",Electricity,Critical
There is noise pollution from a loudspeaker late at night in the the collector office road area. This requires attention from the concerned department.,Other,Medium
"Please sir look this a slightly overflowing dustbin that needs emptying matter at Ring Road, we are having too much problem.",Garbage Collection,Low
"Yeh masla a foul chlorine smell in the tap water ka hai Malviya Nagar ke aas paas, kripya turant karyawahi karein.",Water Supply,Medium
"We residents of Station Road very much suffering due a major road cave-in blocking the entire street, please solve soon.",Roads & Potholes,Critical
"I am writing to formally complain about a clogged drain causing bad odour in the area at Vivekanand Colony, which has caused ongoing inconvenience.",Sewage & Drainage,Medium
"Concern department not doing nothing about an exposed cable near a bus stop endangering commuters at Sector 9, please help us.",Electricity,High
"Yeh a bus conductor misbehaving with a passenger the water tank area ke aas paas hai, department turant dhyan de.",Public Transport,Medium
"Since many days a live wire hanging dangerously over the road after a storm is there near Old Town market, no body coming for repair.",Electricity,Critical
"On behalf of the residents' welfare association, I am reporting unsafe overcrowding on a bus route serving school children near the metro station.",Public Transport,High
I would like to report irregular street lighting timing due to a faulty sensor near City Hospital. Kindly take necessary action at the earliest.,Street Lighting,Medium
"It has come to our attention that a broken down bus blocking a busy road for hours exists near New Colony, and we seek immediate redressal.",Public Transport,High
This is to bring to your notice an overflowing sewage line making the street unusable close to Ring Road. Please arrange for an inspection soon.,Sewage & Drainage,High
"Plz snd team Rajpuri village, large scale encroachment narrowing an entire road since many dayz",Other,High
"Yeh complaint an exposed high tension wire near a school gate ke baare mein hai jo Nehru Colony ke paas dekha gaya, kripya jaldi solve karein.",Electricity,Critical
"The temple me a drain that overflows lightly during every rainfall ki wajah se bahut takleef ho rahi hai, please turant sudhaar karo.",Sewage & Drainage,Medium
"St. Mary's School ke residents bahut pareshan hain kyunki a missing dustbin at the bus stop hai, please fix karo.",Public Transport,Low
We would appreciate a prompt response regarding a burst sewage pipeline flooding the street with waste water reported near the temple.,Sewage & Drainage,Critical
"Yeh masla a collapsing road shoulder endangering pedestrians ka hai Church Street ke aas paas, kripya turant karyawahi karein.",Roads & Potholes,High
We request the department to send a team to inspect a missing dustbin at the bus stop reported at Vivekanand Colony.,Public Transport,Low
"Yeh masla a small unauthorised poster stuck on a public wall ka hai Sunrise Public School ke aas paas, kripya turant karyawahi karein.",Other,Low
"Hum sab the highway bypass ke log a foul chlorine smell in the tap water se pareshan hain, jaldi karyawahi ho.",Water Supply,Medium
"This complaint is regarding a minor malfunction in the pedestrian countdown timer in the vicinity of Sadar Bazaar, which needs to be addressed soon.",Traffic Signals,Medium
"The housing board colony me sewage mixing into the drinking water pipeline ki wajah se bahut takleef ho rahi hai, please turant sudhaar karo.",Water Supply,High
"Yeh masla an unpleasant smell from an uncollected garbage heap ka hai Church Street ke aas paas, kripya turant karyawahi karein.",Garbage Collection,Medium
"Please sir look this a traffic signal that stays on the same colour too long matter at the vegetable market, we are having too much problem.",Traffic Signals,Medium
"Urgnt - a signal pole with peeling paint @ Gopalpur village, ppl suffering alot",Traffic Signals,Low
"It has come to our attention that streetlight cables stolen leaving the area completely dark exists near Vivekanand Colony, and we seek immediate redressal.",Street Lighting,High
This is to bring to your notice a slightly damaged bench at the bus stop close to the temple. Please arrange for an inspection soon.,Public Transport,Low
"On behalf of the residents' welfare association, I am reporting unauthorised hoardings blocking the view at a junction near Nehru Colony.",Other,Medium
"The vegetable market ke residents bahut pareshan hain kyunki slightly delayed response from the billing office hai, please fix karo.",Electricity,Low
"Yeh voltage fluctuation damaging home appliances Subhash Nagar ke aas paas hai, department turant dhyan de.",Electricity,Medium
"Please department is baar the railway station me a faded park bench that needs repainting ko priority pe le, log bahut tang aa gaye hain.",Parks & Gardens,Low
Municipal workers refusing to collect segregated waste near Model Town pls fix asap!!,Garbage Collection,Medium
"Sir ji, City Hospital ke paas a road that has completely collapsed after the bridge work dekha, bahut jaldi theek karwa dijiye please.",Roads & Potholes,Critical
We request the department to send a team to inspect no regular watering of plants in the public garden reported at Station Road.,Parks & Gardens,Medium
"Yeh an exposed cable near a bus stop endangering commuters Sector 9 ke aas paas hai, department turant dhyan de.",Electricity,High
"Yeh complaint open garbage dumping inside a public garden near a school ke baare mein hai jo the mosque ke paas dekha gaya, kripya jaldi solve karein.",Parks & Gardens,High
"Please department is baar the vegetable market me no functioning lights on the jogging track making it unsafe at night ko priority pe le, log bahut tang aa gaye hain.",Parks & Gardens,High
"Kripya the collector office road ka no regular watering of plants in the public garden jaldi se jaldi thik karwaye, bahut zaroori hai.",Parks & Gardens,Medium
"This complaint is regarding sparking wires on a pole near a crowded market in the vicinity of the slum area behind the stadium, which needs to be addressed soon.",Electricity,High
"Yeh a broken signal pole bent after being hit by a vehicle Subhash Nagar ke aas paas hai, department turant dhyan de.",Traffic Signals,High
"Please sir look this broken swings in the children's park matter at New Colony, we are having too much problem.",Parks & Gardens,Medium
"Please department is baar New Colony me an unpleasant smell from an uncollected garbage heap ko priority pe le, log bahut tang aa gaye hain.",Garbage Collection,Medium
"This Nehru Colony place a loose electricity meter cover on the pole is happening, kindly do needful urgently.",Electricity,Low
We would appreciate a prompt response regarding sewage water entering ground floor homes during rains reported near Sector 14.,Sewage & Drainage,High
"It has come to our attention that an illegal dumping site growing right behind a school exists near Vivekanand Colony, and we seek immediate redressal.",Garbage Collection,High
"Yeh masla overcrowded buses during office hours ka hai Krishna Nagar ke aas paas, kripya turant karyawahi karein.",Public Transport,Medium
"Krishna Nagar ke pass waterlogging on the road after even light rain hai, jaldi thik karwao please.",Roads & Potholes,Medium
"It has come to our attention that drains overflowing within minutes of heavy rain exists near the collector office road, and we seek immediate redressal.",Sewage & Drainage,High
Kindly look into an exposed live wire near a school bus stop at the flyover as it has been affecting the daily lives of residents.,Street Lighting,Critical
"It has come to our attention that a damaged high tension pole leaning over a crowded market exists near Krishna Nagar, and we seek immediate redressal.",Other,Critical
"Shanti Nagar me no electricity for over twelve hours in the whole village h, koi action ni liya abi tk :(",Electricity,High
We request the department to send a team to inspect broken swings in the children's park reported at the petrol pump junction.,Parks & Gardens,Medium
"Sir, Divine Enclave ke paas a major sewage line that has collapsed causing a huge sinkhole hai, please jaldi dekh lijiye.",Sewage & Drainage,Critical
"Yeh masla slightly discoloured water in the tap for one day ka hai the mosque ke aas paas, kripya turant karyawahi karein.",Water Supply,Low
"Sir, Model Town ke paas a faded public notice board that needs updating hai, please jaldi dekh lijiye.",Other,Low
"Please department is baar Rajpuri village me sewage water entering ground floor homes during rains ko priority pe le, log bahut tang aa gaye hain.",Sewage & Drainage,High
We would appreciate a prompt response regarding a slow moving drain with a faint smell reported near Ambedkar Park.,Sewage & Drainage,Low
Please note that severe flooding of sewage water into an entire residential block has been observed near the slum area behind the stadium and needs timely repair.,Sewage & Drainage,Critical
"This Model Town place overgrown grass in a small corner of the park is happening, kindly do needful urgently.",Parks & Gardens,Low
"We residents of the fire station very much suffering due sewage mixing into the drinking water pipeline, please solve soon.",Water Supply,High
"Jawahar Nagar ke residents bahut pareshan hain kyunki a bus with completely failed brakes still being operated on the road hai, please fix karo.",Public Transport,Critical
"A bus with completely failed brakes still being operated on the road the government hospital ke pass hai bhaiya, sarkar jaldi action le please.",Public Transport,Critical
There is voltage fluctuation damaging home appliances in the Subhash Nagar area. This requires attention from the concerned department.,Electricity,Medium
"This complaint is regarding an exposed high tension wire near a school gate in the vicinity of the community hall, which needs to be addressed soon.",Electricity,Critical
"I am writing to formally complain about an uneven road surface after patch repair work at Ambedkar Park, which has caused ongoing inconvenience.",Roads & Potholes,Medium
"Gopalpur village - a burning electric pole risking a major fire, fix it fast pls dept",Electricity,Critical
This is to bring to your notice frequent short power cuts throughout the day close to the flyover. Please arrange for an inspection soon.,Electricity,Medium
We would appreciate a prompt response regarding an uneven road surface after patch repair work reported near the government hospital.,Roads & Potholes,Medium
"It has come to our attention that a major sewage line that has collapsed causing a huge sinkhole exists near the mosque, and we seek immediate redressal.",Sewage & Drainage,Critical
"On behalf of the residents' welfare association, I am reporting a large crater on the highway causing multiple accidents near Rajpuri village.",Roads & Potholes,Critical
"Please sir look this no water supply in the entire locality for three days matter at the railway station, we are having too much problem.",Water Supply,High
We would appreciate a prompt response regarding stagnant water in a small unused drain reported near City Hospital.,Sewage & Drainage,Low
"I am writing to formally complain about an illegal dumping site growing right behind a school at the temple, which has caused ongoing inconvenience.",Garbage Collection,High
"Yeh an exposed live electrical wire near the park's play area the railway station ke aas paas hai, department turant dhyan de.",Parks & Gardens,Critical
"Concern department not doing nothing about a faded public notice board that needs updating at Vivekanand Colony, please help us.",Other,Low
"I am writing to formally complain about a slow moving drain with a faint smell at Sector 14, which has caused ongoing inconvenience.",Sewage & Drainage,Low
"I am writing to formally complain about a slightly damaged bench at the bus stop at Green Valley Society, which has caused ongoing inconvenience.",Public Transport,Low
"A slightly overflowing dustbin that needs emptying the bus depot ke pass hai bhaiya, sarkar jaldi action le please.",Garbage Collection,Low
I would like to report stagnant water in a small unused drain near Krishna Nagar. Kindly take necessary action at the earliest.,Sewage & Drainage,Low
"Long traffic jams because of a malfunctioning signal at a busy road Nehru Colony ke pass hai bhaiya, sarkar jaldi action le please.",Traffic Signals,High
"Sector 14 ke pass stagnant water in a small unused drain hai, jaldi thik karwao please.",Sewage & Drainage,Low
Residents of Old Town market have been facing a major sewage line that has collapsed causing a huge sinkhole for several days now and request an urgent resolution.,Sewage & Drainage,Critical
"Sector 9 ke pass a burning street light pole risking electrocution hai, jaldi thik karwao please.",Street Lighting,Critical
"The metro station - a collapsed water tank threatening nearby houses, fix it fast pls dept",Water Supply,Critical
"The housing board colony ke residents bahut pareshan hain kyunki muddy water coming from the tap for the last two days hai, please fix karo.",Water Supply,Medium
"We residents of the slum area behind the stadium very much suffering due toxic waste dumped illegally near a residential water source, please solve soon.",Garbage Collection,Critical
"On behalf of the residents' welfare association, I am reporting a minor crack developing on the road surface near Gopalpur village.",Roads & Potholes,Low
"Kripya the metro station ka a dark unlit stretch near a school causing safety concerns jaldi se jaldi thik karwaye, bahut zaroori hai.",Street Lighting,High
We request the department to send a team to inspect a badly damaged road stretch causing heavy traffic jams reported at Sadar Bazaar.,Roads & Potholes,High
Kindly look into a delay of a few seconds in the signal changing colour at Rampur village as it has been affecting the daily lives of residents.,Traffic Signals,Medium
"Please department is baar the panchayat office me an illegal dumping site growing right behind a school ko priority pe le, log bahut tang aa gaye hain.",Garbage Collection,High
"Please sir look this a streetlight bulb that is slightly dim matter at City Hospital, we are having too much problem.",Street Lighting,Low
"Hum sab the industrial area ke log stray cattle entering and damaging the garden se pareshan hain, jaldi karyawahi ho.",Parks & Gardens,Medium
"Bahut dino se Sector 9 me irregular water supply timings without prior notice chal raha hai, koi suniye nahi raha.",Water Supply,Medium
"Kripya Divine Enclave ka a transformer that exploded and caught fire jaldi se jaldi thik karwaye, bahut zaroori hai.",Electricity,Critical
"Sir, the vegetable market ke paas poor maintenance of the walking track hai, please jaldi dekh lijiye.",Parks & Gardens,Medium
"Humein Gandhi Chowk area mein illegal construction blocking a public drainage path mil raha hai, department se request hai jaldi action le.",Other,High
"Bahut dino se Sunrise Public School me drains overflowing within minutes of heavy rain chal raha hai, koi suniye nahi raha.",Sewage & Drainage,High
"I am writing to formally complain about a collapsed water tank threatening nearby houses at Vivekanand Colony, which has caused ongoing inconvenience.",Water Supply,Critical
This is to bring to your notice an unauthorised structure that is unsafe for nearby residents close to Tilak Marg. Please arrange for an inspection soon.,Other,High
We request the department to send a team to inspect a missing dustbin near the jogging track reported at the fire station.,Parks & Gardens,Low
There is drains overflowing within minutes of heavy rain in the Sainik Colony area. This requires attention from the concerned department.,Sewage & Drainage,High
Please note that a broken signal pole bent after being hit by a vehicle has been observed near Vivekanand Colony and needs timely repair.,Traffic Signals,High
"Concern department not doing nothing about an overflowing garbage yard causing a disease outbreak scare at the mosque, please help us.",Garbage Collection,Critical
"Kripya the bus depot ka no functioning lights on the jogging track making it unsafe at night jaldi se jaldi thik karwaye, bahut zaroori hai.",Parks & Gardens,High
"Please sir look this a fire hazard from illegal gas cylinder storage in a shop matter at the mosque, we are having too much problem.",Other,Critical
"An exposed live wire near a school bus stop MG Road ke pass hai bhaiya, sarkar jaldi action le please.",Street Lighting,Critical
"Yeh masla an open manhole with no cover posing a fatal risk to pedestrians ka hai Sainik Colony ke aas paas, kripya turant karyawahi karein.",Sewage & Drainage,Critical
"MG Road ke residents bahut pareshan hain kyunki muddy water coming from the tap for the last two days hai, please fix karo.",Water Supply,Medium
